id,name,phone,country,zipcode,ipv6,comp_name
726,Arvid Purdy,1-159-169-522,Chad,74165,1b67:84c1:a213:11fd:ecee:425c:4540:e997,Ward Group
449,Laverne Kunze,1-674-306-205,Chad,84742-1361,e70a:72c7:d6f7:c499:f65a:81d2:52a1:9c3c,Blanda Inc
1004,Katrine Boyer,1-553-637-854,Chad,31543-4877,91d4:1bd5:b5a1:acfd:4639:fa01:c12d:3dc2,Runolfsdottir - Glover
760,Leslie Legros,1-719-390-795,Cuba,09181-2058,65c9:b0e5:b6d4:4267:3037:e7bb:8845:78cd,"Cronin, Auer and Hilll"
179,Lilly Daniel,1-879-064-842,Cuba,42849,af6e:1e30:d044:de2d:f2f0:d32d:0ae2:8d36,"Bruen, Fay and Wunsch"
307,Asha Tremblay,1-636-866-327,Cuba,70347-9976,ab4a:0890:3376:4159:c782:099f:ac16:1f0b,Cartwright - Goldner
388,Lavinia Reichert,1-489-621-563,Cuba,50724,45af:1baa:e918:72f1:581c:7042:fcd8:5b1c,Legros - Hahn
415,Jaida Schiller,1-179-376-921,Cuba,04219-8225,b14d:0808:bf69:4b44:e719:8b4d:cb90:5c53,Ernser - Runolfsson
999,Stanton Medhurst,1-446-507-486,Fiji,05437,42df:ffc5:e9c6:60a6:e494:779a:1aa1:60f1,Bernier - Corkery
224,Norval Gaylord,1-928-501-651,Fiji,50531,b4f4:8105:c7be:1848:ee96:0a9b:db56:3154,"Stehr, Reichert and Glover"
1064,Alize Stark,1-152-253-437,Fiji,14889-0362,f7c0:c605:8f41:16b7:e396:a4a1:2253:fb89,"Klein, Abshire and Nader"
1217,Mrs. Lucas Carroll,1-331-373-778,Fiji,23878-3145,3e28:56df:9e04:6f63:d6dc:bd20:2de1:e664,Turcotte LLC
866,Tanya Welch,1-805-829-762,Guam,32789,8d10:3603:ad55:d9e1:4d35:2068:1a53:3727,"Torp, Keeling and O'Connell"
827,Amaya Pfeffer,1-007-492-668,Guam,64117-6134,a57e:b321:5813:84eb:dd28:7f65:f319:0fe3,"Grady, Friesen and Haag"
242,Jocelyn Hoppe,1-911-639-837,Guam,65469-8441,86da:3d4d:68cc:507f:8d31:4485:650f:a013,"Olson, Russel and Jaskolski"
979,Isadore Hodkiewicz DDS,1-928-887-655,Guam,40908,c218:3c71:ce41:31ba:a3a0:eae4:e4bf:5941,Toy LLC
359,Clotilde Rogahn,1-236-032-572,Iran,92566,461b:784e:b918:7369:b256:1c69:8a80:62d3,Doyle - Hintz
336,Shanelle Ruecker MD,1-880-745-668,Iran,99707-8511,b598:be70:8d77:5f6d:3dfa:ad40:6ef9:3233,Larkin Inc
107,Loyce Nikolaus,1-718-656-039,Iran,88908,6561:b5de:05e6:6ad9:6169:5ceb:e659:0e05,"Brakus, Kutch and Brakus"
183,Toney Grant,1-257-843-395,Iran,11978-9767,bc6c:3710:0279:b030:f044:4ef8:7af3:df6f,Rosenbaum - Ledner
100,Kelton DuBuque,1-451-423-329,Iran,83306,78bb:9d33:8c8f:f7e3:ad43:356d:9a3d:0beb,Cummings - Leffler
1114,Laron Wyman,1-826-909-491,Iran,42730-4042,029b:8212:9fba:af4e:fd64:c5f4:8372:8a56,"Cormier, Hahn and Schneider"
1035,Keeley Kihn V,1-353-461-306,Iran,22342-2188,8b42:1203:5b99:907e:612d:e4bd:ccb7:0965,Mitchell Group
255,Meaghan Beahan,1-254-600-302,Iraq,43244,508e:b9c1:21b2:627d:1f5b:bcbf:23cd:2b5f,"Bogisich, Kirlin and Moore"
957,Devan Witting II,1-021-167-765,Iraq,63002-0349,4f34:a1f0:82c7:edd7:9c0d:9d3b:ce5c:c6ac,"Dickinson, Harber and Mills"
1151,Hortense Altenwerth,1-430-717-353,Iraq,90882,5f0c:4ca6:383c:4978:9178:1a90:3b12:57d4,Bins Group
1368,Anastasia Schaden,1-121-702-628,Iraq,71034,fb40:0fea:9052:0f0b:ea23:71fb:ea95:0e42,"Adams, Strosin and Lang"
294,Alfreda Will,1-980-952-988,Mali,06816,4a0d:c53d:b903:a873:99b4:04db:a23b:ef8d,Dare - MacGyver
207,Garret Leffler,1-272-648-603,Mali,17969,f3a5:1c95:e0e6:e8ee:46bf:ac98:7fc0:c9ff,"Rippin, Hoeger and Crist"
11,Jerrod Hessel,1-045-020-583,Mali,39508-8410,04ee:2adb:6e4d:d5f9:397d:c811:5b0e:8497,Sawayn LLC
1441,Dante Yost III,1-327-522-761,Mali,07970-9446,d957:9e54:4cd5:8cd6:9031:8e6a:69a1:7558,Huels LLC
216,Eliza Marvin,1-365-910-014,Niue,72555,3269:c846:6e2d:e8b0:3007:a40e:ae2a:41cc,Sanford - Trantow
